NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,경기도 수원시 장안구 정자동,313-1,0313,0001,동신2단지,48.23,202505,03,"22,800",202,14,개인,개인,1988,장안로 211,-,중개거래,경기 수원시 장안구,2025.6.4
2,경기도 수원시 장안구 천천동,544,0544,0000,천천삼성래미안,84.99,202505,03,"49,500",104,7,개인,개인,2002,화산로187번길 19,-,중개거래,경기 수원시 장안구,2025.7.2
3,경기도 수원시 장안구 천천동,569,0569,0000,일성,84.85,202505,03,"43,500",502,2,개인,개인,1997,정자로19번길 18,-,중개거래,경기 수원시 장안구,2025.7.30
4,경기도 수원시 영통구 매탄동,810-4,0810,0004,성일,49.68,202505,03,"24,500",206,11,개인,개인,1988,인계로 239,-,중개거래,경기 수원시 영통구,2025.7.31
5,경기도 수원시 장안구 천천동,565,0565,0000,삼호진덕,59.88,202505,03,"33,500",제203,2,개인,개인,1998,하률로46번길 22,-,중개거래,경기 수원시 장안구,2025.7.4
6,경기도 수원시 권선구 금곡동,1078,1078,0000,수원모아미래도센트럴타운1단지,84.8763,202505,03,"69,500",107,18,개인,개인,2017,서수원로577번길 341,-,중개거래,경기 수원시 권선구,2025.7.16
7,경기도 수원시 권선구 금곡동,79,0079,0000,삼익3,59.34,202505,03,"34,400",301,3,개인,개인,1998,서수원로 589,-,중개거래,경기 수원시 권선구,2025.8.28
8,경기도 수원시 권선구 금곡동,252,0252,0000,일신건영(휴먼빌),84.93,202505,03,"44,900",101,10,개인,개인,1998,매곡로 68,-,중개거래,경기 수원시 권선구,2025.7.10
9,경기도 수원시 권선구 호매실동,1388,1388,0000,호매실경남아너스빌,74.93,202505,03,"43,000",-,14,개인,개인,2011,호매실로165번길 70,20250507,중개거래,경기 수원시 권선구,-
10,경기도 수원시 권선구 호매실동,1361,1361,0000,한양수자인파크원,84.9521,202505,03,"60,800",115,13,개인,개인,2018,칠보로 102,-,중개거래,경기 수원시 권선구,2025.6.13
11,경기도 수원시 권선구 호매실동,1352,1352,0000,극동스타클래스,84.97,202505,03,"61,000",906,5,개인,개인,2017,금곡로140번길 73,-,중개거래,경기 수원시 권선구,2026.3.17
12,경기도 수원시 권선구 호매실동,1388,1388,0000,호매실경남아너스빌,74.93,202505,03,"43,000",1504,14,개인,개인,2011,호매실로165번길 70,-,중개거래,경기 수원시 권선구,2025.8.22
13,경기도 수원시 권선구 서둔동,371,0371,0000,센트라우스,59.9246,202505,03,"51,000",109,9,개인,개인,2005,세화로168번길 15,-,중개거래,경기 수원시 권선구,2025.8.4
14,경기도 수원시 장안구 정자동,919,0919,0000,청솔마을한라,59.985,202505,03,"43,900",631,4,개인,개인,2001,만석로20번길 28,-,중개거래,경기 수원시 장안구,2025.7.4
15,경기도 수원시 장안구 정자동,886-1,0886,0001,화서역현대벽산,59.88,202505,03,"40,900",342,7,개인,개인,1999,정자천로188번길 64,-,중개거래,경기 수원시 장안구,2025.6.30
16,경기도 수원시 팔달구 고등동,310,0310,0000,수원역푸르지오자이,74.98,202505,03,"73,000",111동,6,개인,개인,2021,고등로 15,-,중개거래,경기 수원시 팔달구,2025.7.25
17,경기도 수원시 장안구 이목동,916,0916,0000,수원장안힐스테이트,84.992,202505,03,"64,000",209,5,개인,개인,2012,장안로359번길 20,-,중개거래,경기 수원시 장안구,2025.9.5
18,경기도 수원시 장안구 정자동,395,0395,0000,동신1단지,56.71,202505,03,"27,400",103,12,개인,개인,1987,장안로 232,-,중개거래,"경기 수원시 장안구, 인천 미추홀구",2025.7.28
19,경기도 수원시 장안구 정자동,919,0919,0000,청솔마을한라,59.985,202505,03,"43,900",633,4,개인,개인,2001,만석로20번길 28,-,중개거래,경기 수원시 장안구,2025.7.24
20,경기도 수원시 장안구 율전동,322,0322,0000,늘푸른벽산,36.54,202505,03,"22,970",101,14,개인,개인,1998,율전로101번길 40,-,중개거래,경기 수원시 장안구,2025.5.15
21,경기도 수원시 권선구 권선동,1337,1337,0000,수원아이파크시티7단지,75.74,202505,03,"71,600",710,11,개인,개인,2016,덕영대로1190번길 100,-,중개거래,경기 수원시 권선구,2025.9.19
22,경기도 수원시 팔달구 화서동,11월 11일,0011,0011,성원쌍떼빌,84.48,202505,03,"36,500",103,11,개인,개인,2001,장안로5번길 45,-,중개거래,경기 수원시 팔달구,2025.7.2
23,경기도 수원시 팔달구 화서동,650,0650,0000,화서주공5단지,49.99,202505,03,"46,700",501,19,개인,개인,1997,덕영대로697번길 48,-,중개거래,경기 수원시 팔달구,2025.6.30
24,경기도 수원시 팔달구 화서동,743,0743,0000,화서위브하늘채,84.9286,202505,03,"64,300",-,21,개인,개인,2009,수성로244번길 25,20250528,중개거래,경기 수원시 팔달구,-
25,경기도 수원시 팔달구 화서동,743,0743,0000,화서위브하늘채,84.9286,202505,03,"64,300",-,21,개인,개인,2009,수성로244번길 25,-,중개거래,경기 수원시 팔달구,-
26,경기도 수원시 팔달구 화서동,713,0713,0000,꽃뫼버들마을엘지,84.938,202505,03,"57,600",168,12,개인,개인,2001,정자천로32번길 20,-,중개거래,경기 수원시 팔달구,2025.7.28
27,경기도 수원시 영통구 매탄동,810-4,0810,0004,성일,39.99,202505,03,"21,600",201,12,개인,개인,1989,인계로 239,-,중개거래,"경기 수원시 영통구, 경기 수원시 팔달구",2025.7.4
28,경기도 수원시 영통구 매탄동,810-3,0810,0003,삼성1,84.6,202505,03,"42,500",7,10,개인,개인,1988,인계로 219,-,중개거래,경기 수원시 영통구,2025.6.30
29,경기도 수원시 권선구 권선동,1330,1330,0000,권선자이e편한세상,59.963,202505,03,"53,000",134,6,개인,개인,2011,권광로 55,-,중개거래,경기 수원시 권선구,2025.7.16
30,경기도 수원시 장안구 정자동,395,0395,0000,동신1단지,56.71,202505,03,"27,300",106,10,개인,개인,1987,장안로 232,-,중개거래,경기 수원시 장안구,2025.6.16
31,경기도 수원시 영통구 매탄동,1230,1230,0000,매탄레이크파크,49.95,202505,03,"32,000",102,9,개인,개인,1999,매영로 132,-,중개거래,경기 수원시 영통구,2025.10.24
32,경기도 수원시 팔달구 인계동,1173,1173,0000,수원센트럴아이파크자이,103.31,202505,03,"101,000",122,7,개인,개인,2024,인계로 21,-,중개거래,"경기 수원시 영통구, 경기 수원시 팔달구",2025.12.17
33,경기도 성남시 분당구 구미동,213,0213,0000,무지개(11단지)(금강센테리움),49.77,202505,03,"55,500",1103,5,개인,개인,1995,미금로22번길 9,-,중개거래,경기 성남시 분당구,2025.7.25
34,경기도 성남시 분당구 구미동,63,0063,0000,까치마을(4단지)(선경),51.32,202505,03,"85,000",407,2,개인,개인,1995,미금일로 58,-,중개거래,경기 성남시 분당구,2025.7.30
35,경기도 성남시 분당구 구미동,63,0063,0000,까치마을(4단지)(선경),51.32,202505,03,"85,000",-,2,개인,개인,1995,미금일로 58,20250515,중개거래,경기 성남시 분당구,-
36,경기도 성남시 분당구 구미동,77,0077,0000,까치마을(1단지)(대우롯데선경),51.32,202505,03,"91,500",107,9,개인,개인,1995,미금로 184,-,중개거래,경기 성남시 분당구,2025.9.18
37,경기도 의정부시 호원동,351-1,0351,0001,삼익,59.595,202505,03,"23,500",105,1,개인,개인,1998,백석로 33,-,중개거래,경기 의정부시,2025.6.24
38,경기도 의정부시 호원동,10월 1일,0010,0001,한신1차,71.31,202505,03,"32,200",1,9,개인,개인,1991,회룡로 111,-,중개거래,경기 의정부시,2025.7.7
39,경기도 성남시 분당구 구미동,201,0201,0000,무지개(3단지)(신한),69.72,202505,03,"94,000",301,14,개인,개인,1996,미금로 63,-,중개거래,경기 성남시 분당구,2025.8.20
40,경기도 성남시 분당구 야탑동,211,0211,0000,매화마을(주공4),35.28,202505,03,"45,800",404,4,개인,개인,1993,장미로 193,-,중개거래,경기 성남시 분당구,2025.6.23
41,경기도 성남시 중원구 금광동,2600,2600,0000,한양수자인성남마크뷰,40.9527,202505,03,"50,700",302,2,개인,개인,2021,광명로 411,-,중개거래,경기 성남시 중원구,2025.6.26
42,경기도 수원시 영통구 영통동,1048-2,1048,0002,청명마을(주공),59.99,202505,03,"45,700",411,16,개인,개인,1997,청명북로 81,-,중개거래,경기 수원시 영통구,2025.6.30
43,경기도 수원시 영통구 영통동,1053-2,1053,0002,벽산(1053-2),84.96,202505,03,"54,800",221,9,개인,개인,1997,봉영로1744번길 11,-,중개거래,경기 수원시 영통구,2025.6.27
44,경기도 수원시 영통구 영통동,1047-1,1047,0001,건영1차,84.99,202505,03,"71,700",426,3,개인,개인,1999,청명로 100,-,중개거래,경기 수원시 영통구,2025.8.18
45,경기도 수원시 영통구 영통동,955-1,0955,0001,황골마을주공1,59.99,202505,03,"41,700",124,13,개인,개인,1997,영통로 498,-,중개거래,경기 수원시 영통구,2025.7.25
46,경기도 수원시 영통구 망포동,725,0725,0000,영통SKVIEW,84.6149,202505,03,"81,000",103동,10,개인,개인,2016,영통로200번길 112,-,중개거래,경기 수원시 영통구,2025.7.30
47,경기도 수원시 영통구 망포동,726,0726,0000,e편한세상영통2차(1단지),59.9158,202505,03,"51,700",104,24,개인,개인,2016,봉영로 1410-17,-,중개거래,경기 수원시 영통구,2025.5.23
48,경기도 수원시 영통구 망포동,686,0686,0000,동수원자이1차,84.9688,202505,03,"52,800",-,2,개인,개인,2001,태장로82번길 32,20250529,중개거래,경기 수원시 영통구,-
49,경기도 수원시 영통구 망포동,686,0686,0000,동수원자이1차,84.9688,202505,03,"45,000",109,8,개인,기타,2001,태장로82번길 32,-,직거래,-,2025.5.28
50,경기도 수원시 영통구 망포동,690,0690,0000,동수원자이2차,84.9394,202505,03,"60,000",202,9,개인,개인,2002,태장로71번길 19,-,중개거래,경기 수원시 영통구,2025.6.25
51,경기도 수원시 영통구 망포동,693,0693,0000,망포역아이파크,101.939,202505,03,"70,500",107,8,개인,개인,2002,영통로200번길 20,-,중개거래,경기 수원시 영통구,2025.6.30
52,경기도 수원시 영통구 망포동,686,0686,0000,동수원자이1차,84.9688,202505,03,"51,500",109,6,개인,법인,2001,태장로82번길 32,-,중개거래,"경기 수원시 영통구, 경기 화성시",2025.5.9
53,경기도 수원시 영통구 망포동,686,0686,0000,동수원자이1차,84.9688,202505,03,"40,000",-,8,개인,법인,2001,태장로82번길 32,20250520,직거래,-,-
54,경기도 성남시 수정구 신흥동,5180,5180,0000,샤르망,74.531,202505,03,"43,750",샤르망,12,개인,개인,2006,시민로 165,-,중개거래,경기 성남시 수정구,2025.6.16
55,경기도 성남시 중원구 하대원동,249,0249,0000,아튼빌,59.91,202505,03,"64,000",1004,14,개인,개인,2003,둔촌대로 300,-,중개거래,경기 성남시 중원구,2025.6.24
56,경기도 성남시 중원구 하대원동,539,0539,0000,성남자이,59.99,202505,03,"61,300",112,13,개인,개인,2007,둔촌대로 363,-,중개거래,경기 성남시 중원구,2025.7.29
57,경기도 성남시 분당구 정자동,180,0180,0000,미켈란쉐르빌,36.27,202505,03,"52,500",C,7,개인,개인,2003,정자일로 100,-,중개거래,경기 성남시 분당구,2025.7.31
58,경기도 성남시 분당구 정자동,102,0102,0000,한솔마을(4단지)(주공),41.85,202505,03,"63,000",411,15,개인,개인,1994,백현로 206,-,중개거래,경기 용인시 수지구,2025.8.14
59,경기도 성남시 분당구 정자동,102,0102,0000,한솔마을(4단지)(주공),41.85,202505,03,"61,500",409,12,개인,개인,1994,백현로 206,-,중개거래,경기 성남시 분당구,2025.6.25
60,경기도 성남시 중원구 금광동,3950,3950,0000,삼익금광1차,34.05,202505,03,"31,000",103,6,개인,개인,1991,자혜로16번길 9,-,중개거래,"경기 성남시 수정구, 경기 성남시 중원구",2025.7.28
61,경기도 성남시 중원구 중앙동,3001,3001,0000,신흥역하늘채랜더스원1단지,74.92,202505,03,"107,000",103,17,개인,개인,2022,광명로 176,-,중개거래,경기 화성시,2025.6.13
62,경기도 성남시 중원구 금광동,1003,1003,0000,e편한세상금빛그랑메종2단지,51.96,202505,03,"71,000",203,10,개인,개인,2023,금광로 26,-,중개거래,경기 성남시 중원구,2025.7.7
63,경기도 성남시 중원구 금광동,1003,1003,0000,e편한세상금빛그랑메종2단지,51.96,202505,03,"71,000",-,10,개인,개인,2023,금광로 26,20250507,중개거래,경기 성남시 중원구,-
64,경기도 의정부시 의정부동,527,0527,0000,의정부일성트루엘,84.969,202505,03,"47,800",102,12,개인,개인,2014,의정로40번길 12,-,중개거래,경기 의정부시,2025.9.19
65,경기도 성남시 중원구 금광동,2600,2600,0000,한양수자인성남마크뷰,59.8423,202505,03,"71,000",304,15,개인,개인,2021,광명로 411,-,중개거래,경기 성남시 중원구,2025.7.31
66,경기도 성남시 분당구 대장동,641,641,0000,판교더샵포레스트12단지,84.9852,202505,03,"109,750",1206,19,개인,개인,2021,판교대장로5길 30,-,중개거래,경기 성남시 분당구,2025.7.24
67,경기도 성남시 분당구 대장동,641,641,0000,판교더샵포레스트12단지,84.9852,202505,03,"109,750",-,19,개인,개인,2021,판교대장로5길 30,20250529,중개거래,경기 성남시 분당구,-
68,경기도 성남시 중원구 금광동,1016,1016,0000,e편한세상금빛그랑메종4단지,84.56,202505,03,"95,200",401,16,개인,개인,2023,금광로 71,-,중개거래,"경기 성남시 수정구, 경기 성남시 중원구",2025.9.19
69,경기도 성남시 분당구 구미동,212,0212,0000,무지개(12단지)(주공뜨란체),58.14,202505,03,"65,800",1205,9,개인,개인,1995,미금로22번길 10,-,중개거래,경기 성남시 분당구,2025.7.1
70,경기도 성남시 중원구 금광동,1003,1003,0000,e편한세상금빛그랑메종2단지,59.95,202505,03,"78,000",203,15,개인,개인,2023,금광로 26,-,중개거래,경기 성남시 중원구,2025.8.26
71,경기도 성남시 분당구 이매동,99,0099,0000,이매촌(삼환),59.87,202505,03,"107,000",1110,4,개인,개인,1994,양현로 220,-,중개거래,경기 성남시 분당구,2025.7.14
72,경기도 성남시 수정구 수진동,3991,3991,0000,밀란체3,83.8959,202505,03,"33,850",-,3,개인,개인,2006,성남대로1194번길 3,20250521,중개거래,경기 성남시 수정구,-
73,경기도 의정부시 의정부동,724,0724,0000,의정부역센트럴자이앤위브캐슬,59.979,202505,03,"59,000",103동,7,개인,개인,2022,경의로 132,-,중개거래,경기 의정부시,2025.8.4
74,경기도 성남시 중원구 은행동,Jun.32,1932,0006,현대,84.63,202505,03,"71,000",101,9,개인,개인,1995,자혜로17번길 16,-,중개거래,"경기 성남시 수정구, 서울 송파구",2025.8.29
75,경기도 성남시 수정구 고등동,592,0592,0000,판교밸리호반써밋,84.9132,202505,03,"100,000",215동,4,개인,개인,2019,고등로 34,-,중개거래,경기 성남시 분당구,2025.6.11
76,경기도 성남시 분당구 금곡동,133,0133,0000,청솔마을(주공9단지),42.84,202505,03,"74,500",905,8,개인,개인,1996,미금로 216,-,중개거래,경기 성남시 분당구,2025.9.30
77,경기도 성남시 분당구 수내동,24,0024,0000,양지마을(5단지)(한양501-514),35.1,202505,03,"79,500",510,14,개인,개인,1993,내정로165번길 35,-,중개거래,경기 성남시 분당구,2025.7.29
78,경기도 성남시 분당구 수내동,29,0029,0000,양지마을(6단지)(한양603동),59.76,202505,03,"109,000",주상복합상가 603,8,개인,개인,1993,내정로173번길 11,-,중개거래,경기 성남시 분당구,2025.6.30
79,경기도 성남시 중원구 여수동,602,0602,0000,산들마을2단지,51.93,202505,03,"69,200",216동,10,개인,개인,2015,여수울로 51,-,중개거래,경기 성남시 중원구,2025.8.29
80,경기도 성남시 분당구 정자동,121,0121,0000,상록마을(우성)1,55.14,202505,03,"108,000",305,1,개인,개인,1994,내정로 55,-,중개거래,경기 성남시 분당구,2025.7.4
81,경기도 성남시 분당구 구미동,221,0221,0000,무지개(5단지)(청구),58.49,202505,03,"77,500",508,11,개인,개인,1995,무지개로 144,-,중개거래,경기 성남시 분당구,2025.6.26
82,경기도 부천시 원미구 중동,1288,1288,0000,팰리스카운티,84.9915,202505,03,"64,000",128,18,개인,개인,2009,중동로 107,-,중개거래,경기 부천시 원미구,2025.6.30
83,경기도 부천시 소사구 소사본동,135,0135,0000,소사에스케이뷰,84.9841,202505,03,"54,400",112,5,개인,개인,2004,소삼로 62,-,중개거래,경기 부천시 소사구,2025.6.30
84,경기도 부천시 원미구 중동,1185-2,1185,0002,그린타운(한양),101.95,202505,03,"65,000",1340,11,개인,개인,1994,부흥로303번길 31,-,중개거래,경기 부천시 원미구,2025.8.22
85,경기도 부천시 소사구 옥길동,780-1,0780,0001,옥길호반베르디움,72.998,202505,03,"68,900",108동,23,개인,개인,2017,범안로 220,-,중개거래,경기 부천시 소사구,2025.6.27
86,경기도 부천시 소사구 옥길동,771-1,0771,0001,옥길센트리뷰,84.8,202505,03,"66,000",713동,11,개인,개인,2017,옥길로 55,-,중개거래,경기 부천시 소사구,2025.6.20
87,경기도 광명시 철산동,245,0245,0000,쌍마한신,65.66,202505,03,"58,500",103,6,개인,개인,1992,철산로 13-12,-,중개거래,경기 광명시,2025.8.8
88,경기도 부천시 원미구 상동,394,0394,0000,한아름마을(한국),48.18,202505,03,"31,500",-,3,개인,개인,1996,부흥로 102,20250611,중개거래,경기 부천시 원미구,-
89,경기도 부천시 원미구 상동,397,0397,0000,반달마을(동아),59.92,202505,03,"37,400",1809,13,개인,개인,1993,상일로 71,-,중개거래,경기 부천시 원미구,2025.6.26
90,경기도 평택시 장당동,631,0631,0000,제일하이빌1차,59.8748,202505,03,"23,500",101,7,개인,개인,2005,경기대로 1155,-,중개거래,경기 평택시,2025.5.15
91,경기도 평택시 장당동,634,0634,0000,제일하이빌2차,59.8748,202505,03,"23,700",202,13,개인,개인,2005,경기대로 1144,-,중개거래,경기 평택시,2025.7.18
92,경기도 부천시 소사구 송내동,605-20,0605,0020,푸르미아,74.9,202505,03,"34,000",101,4,개인,개인,2009,경인로150번길 68,-,중개거래,"경기 부천시 소사구, 서울 은평구",2025.6.24
93,경기도 부천시 소사구 송내동,340,0340,0000,우성,84.91,202505,03,"45,200",7,3,개인,개인,1990,경인로29번길 32,-,중개거래,경기 부천시 소사구,2025.6.16
94,경기도 평택시 장당동,660,0660,0000,제일풍경채장당센트럴,66.9,202505,03,"29,900",303동,14,개인,개인,2018,송탄로 27,-,중개거래,경기 평택시,2025.8.18
95,경기도 부천시 소사구 범박동,154-2,0154,0002,부천범박힐스테이트1단지,59.95,202505,03,"46,700",104,2,개인,개인,2004,범안로 81,-,중개거래,경기 부천시 소사구,2025.8.18
96,경기도 부천시 소사구 소사본동,Dec.81,0081,0012,청아람아파트,38.7539,202505,03,"21,600",0001,8,개인,개인,2019,소삼로15번길 24,-,중개거래,경기 부천시 소사구,2025.5.8
97,경기도 평택시 합정동,829,0829,0000,주공4,40,202505,03,"15,000",405,1,개인,개인,1992,평택3로 11,-,중개거래,경기 평택시,2025.6.4
98,경기도 광명시 철산동,639-1,0639,0001,철산역롯데캐슬&SKVIEW클래스티지,59.98,202505,03,"107,000",110,20,개인,개인,2022,시청로 50,-,중개거래,경기 광명시,2025.6.27
99,경기도 광명시 광명동,787-4,0787,0004,광명아크포레자이위브,59.9915,202505,03,"78,900",1202,20,개인,개인,2021,새터로 44-8,-,중개거래,경기 광명시,2025.8.6
100,경기도 광명시 광명동,787-4,0787,0004,광명아크포레자이위브,59.9915,202505,03,"78,000",1202,13,개인,개인,2021,새터로 44-8,-,중개거래,경기 광명시,2025.7.2
101,경기도 광명시 철산동,639-1,0639,0001,철산역롯데캐슬&SKVIEW클래스티지,59.98,202505,03,"107,000",-,20,개인,개인,2022,시청로 50,20250521,중개거래,경기 광명시,-
102,경기도 부천시 소사구 괴안동,271,0271,0000,센텀포레스트,53.17,202505,03,"49,200",102동,13,개인,법인,2024,안곡로205번길 19,-,직거래,-,2025.5.30
103,경기도 부천시 원미구 상동,397,0397,0000,반달마을(건영),39.84,202505,03,"24,500",1806,14,개인,개인,1993,상일로 71,-,중개거래,경기 부천시 원미구,2025.5.15
104,경기도 광명시 철산동,241,0241,0000,주공13,73.09,202505,03,"92,800",1320,8,개인,개인,1986,철산로 57,-,중개거래,경기 광명시,2025.7.28
105,경기도 광명시 철산동,245,0245,0000,쌍마한신,65.66,202505,03,"58,500",-,6,개인,개인,1992,철산로 13-12,20250609,중개거래,경기 광명시,-
106,경기도 부천시 원미구 상동,394,0394,0000,한아름마을(한국),48.18,202505,03,"31,500",1538,3,개인,개인,1996,부흥로 102,-,중개거래,경기 부천시 원미구,2025.8.12
107,경기도 광명시 하안동,296,0296,0000,주공6,36.16,202505,03,"30,000",603,1,개인,개인,1990,금당로 11,-,중개거래,경기 광명시,2025.7.30
108,경기도 광명시 하안동,682,0682,0000,주공1,36.16,202505,03,"29,200",104,4,개인,개인,1989,안현로 15,-,중개거래,경기 광명시,2025.6.17
109,경기도 부천시 오정구 오정동,717,0717,0000,오정휴먼시아1단지,59.95,202505,03,"42,700",103동,3,개인,개인,2006,오정로251번길 39,-,중개거래,경기 부천시 오정구,2025.5.26
110,경기도 부천시 원미구 중동,1041,1041,0000,덕유마을(주공4),59.98,202505,03,"41,300",210,7,개인,개인,1997,도약로 146,-,중개거래,경기 부천시 원미구,2025.9.1
111,경기도 부천시 원미구 중동,1112,1112,0000,"위브더스테이트(801,802,803동)",84.96,202505,03,"70,000",803,9,개인,개인,2006,신흥로 150-1,-,중개거래,경기 부천시 원미구,2025.9.5
112,경기도 평택시 군문동,360,0360,0000,군문주공2,59.96,202505,03,"24,500",208,13,개인,개인,1999,원평로25번길 61,-,중개거래,경기 평택시,2025.7.11
113,경기도 부천시 오정구 고강동,304-3,0304,0003,부강1차,49.08,202505,03,"18,000",나,3,개인,개인,1987,원종로 118,-,중개거래,경기 부천시 오정구,2025.8.22
114,경기도 오산시 갈곶동,715,0715,0000,대주피오레,123.3203,202505,03,"36,700",103,6,개인,개인,2010,경기대로 52-21,-,중개거래,경기 오산시,2025.5.29
115,경기도 오산시 갈곶동,235-3,0235,0003,힐스테이트오산더퍼스트,59.9944,202505,03,"38,600",106동,15,개인,개인,2024,경기대로 24-27,-,중개거래,경기 오산시,2025.7.22
116,경기도 시흥시 정왕동,1866-6,1866,0006,영남5,84.88,202505,03,"33,000",505,3,개인,개인,1996,옥구천서로373번길 8-1,-,중개거래,경기 시흥시,2025.6.24
117,경기도 시흥시 배곧동,262,0262,0000,한라비발디캠퍼스3차,84.9973,202505,03,"55,000",302동,38,개인,개인,2018,서울대학로 172-20,-,중개거래,경기 시흥시,2025.7.30
118,경기도 시흥시 배곧동,174,0174,0000,호반베르디움센트로하임,84.8957,202505,03,"58,500",1112,15,개인,개인,2017,배곧4로 106-25,-,중개거래,경기 시흥시,2025.8.18
119,경기도 시흥시 배곧동,221,0221,0000,시흥배곧C2호반써밋플레이스,84.9906,202505,03,"61,000",201동,20,개인,개인,2019,서울대학로264번길 12,-,중개거래,경기 시흥시,2025.6.20
120,경기도 시흥시 배곧동,14,0014,0000,시흥배곧신도시이지더원1차더퍼스트,59.5476,202505,03,"40,500",104동,23,개인,개인,2017,해송십리로 472-12,-,중개거래,경기 시흥시,2025.6.23
121,경기도 시흥시 월곶동,992-5,0992,0005,알파시티,16.8,202505,03,"4,800",제1동,6,개인,개인,2013,월곶중앙로30번길 31,-,중개거래,경기 시흥시,2025.5.23
122,경기도 오산시 내삼미동,895,0895,0000,오산대역세교자이,83.2216,202505,03,"72,500",109동,16,개인,개인,2018,삼미로 34,-,중개거래,경기 오산시,2025.6.30
123,경기도 시흥시 정왕동,1790,1790,0000,영남6,26.88,202505,03,"13,800",615,3,개인,개인,1997,중심상가로 224,-,중개거래,경기 시흥시,2025.5.28
124,경기도 시흥시 월곶동,1010-4,1010,0004,풍림아이원1차,59.985,202505,03,"27,500",111,19,개인,개인,2002,월곶중앙로70번길 11,-,중개거래,경기 시흥시,2025.5.14
125,경기도 시흥시 은행동,632,0632,0000,네이처포레,59.98,202505,03,"43,000",1102동,7,개인,개인,2018,은계중앙로 140,-,중개거래,경기 시흥시,2025.6.20
126,경기도 시흥시 은행동,619,0619,0000,은계센트럴타운,51.96,202505,03,"39,700",504,11,개인,개인,2017,은계중앙로 97,-,중개거래,경기 시흥시,2025.7.1
127,경기도 오산시 누읍동,438,0438,0000,한라그린타운,75.24,202505,03,"25,800",101,20,개인,개인,2000,누읍로 17,-,중개거래,경기 오산시,2025.6.5
128,경기도 시흥시 은행동,632,0632,0000,네이처포레,59.98,202505,03,"43,000",-,7,개인,개인,2018,은계중앙로 140,20250513,중개거래,경기 시흥시,-
129,경기도 오산시 세교동,622,0622,0000,세마역 트루엘 더퍼스트,84.61,202505,03,"46,800",109,15,개인,개인,2013,수목원로 615,-,중개거래,경기 오산시,2025.7.30
130,경기도 시흥시 대야동,693,0693,0000,시흥센트럴푸르지오,75.9939,202505,03,"65,000",104동,26,개인,개인,2020,수인로3312번길 16,-,중개거래,경기 시흥시,2025.7.15
131,경기도 시흥시 대야동,693,0693,0000,시흥센트럴푸르지오,75.9939,202505,03,"65,700",101동,28,개인,개인,2020,수인로3312번길 16,-,중개거래,경기 시흥시,2025.10.29
132,경기도 시흥시 대야동,693,0693,0000,시흥센트럴푸르지오,106.9313,202505,03,"82,000",105동,20,개인,개인,2020,수인로3312번길 16,-,중개거래,경기 시흥시,2025.7.4
133,경기도 오산시 청호동,321,0321,0000,오산자이,100.1746,202505,03,"31,500",110,4,개인,개인,2007,동부대로 332-14,-,중개거래,경기 오산시,2025.5.30
134,경기도 시흥시 대야동,693,0693,0000,시흥센트럴푸르지오,75.9939,202505,03,"65,000",-,26,개인,개인,2020,수인로3312번길 16,20250503,중개거래,경기 시흥시,-
135,경기도 군포시 당동,746-13,0746,0013,우진아트리움,67.26,202505,03,"32,500",-,4,개인,개인,2018,산본로198번길 6,-,중개거래,경기 군포시,2025.7.15
136,경기도 오산시 누읍동,561-1,0561,0001,이림,37.47,202505,03,"11,500",103,7,개인,개인,2000,발안로 1353-8,-,중개거래,경기 오산시,2025.6.5
137,경기도 시흥시 정왕동,1850,1850,0000,요진,84.88,202505,03,"34,700",118,8,개인,개인,1997,중심상가로 77,-,중개거래,경기 시흥시,2025.7.4
138,경기도 시흥시 정왕동,1878-4,1878,0004,대림3,84.98,202505,03,"37,000",1206,4,개인,개인,1998,함송로29번길 37,-,중개거래,경기 시흥시,2025.7.31
139,경기도 시흥시 정왕동,1849-6,1849,0006,세종3,85,202505,03,"30,300",307,3,개인,개인,1998,중심상가로 105,-,중개거래,경기 시흥시,2025.6.30
140,경기도 오산시 원동,551,0551,0000,태영,84.97,202505,03,"22,000",제102,18,개인,개인,1996,동부대로 407-10,-,중개거래,경기 오산시,2025.5.20
141,경기도 오산시 원동,826-1,0826,0001,대우푸르지오,84.557,202505,03,"29,000",106,7,개인,개인,2005,남부대로 411-15,-,중개거래,경기 오산시,2025.7.28
142,경기도 오산시 갈곶동,251,0251,0000,우림,59.95,202505,03,"16,500",105,10,개인,개인,1998,경기대로 74,-,중개거래,경기 오산시,2025.6.30
143,경기도 시흥시 월곶동,992-5,0992,0005,알파시티,16.8,202505,03,"4,500",제1동,11,개인,개인,2013,월곶중앙로30번길 31,-,중개거래,경기 시흥시,2025.5.29
144,경기도 오산시 금암동,499,0499,0000,세교 서희스타힐스,74.78,202505,03,"32,150",1208,8,개인,개인,2011,수청로 107,-,중개거래,경기 오산시,2025.7.9
145,경기도 오산시 원동,825,0825,0000,KS건영아느칸빌,84.959,202505,03,"25,800",104,11,개인,개인,2004,밀머리로 35,-,중개거래,경기 오산시,2025.6.23
146,경기도 오산시 수청동,569,0569,0000,오산대역 우미린,84.8423,202505,03,"33,500",103,18,개인,개인,2004,수청로 31,-,중개거래,경기 오산시,2025.6.24
