NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19815,경기도 안양시 동안구 호계동,335-2,0335,0002,호계동미원(美苑),84.738,202503,15,"46,500",101,5,개인,개인,2013,경수대로623번길 44,-,중개거래,경기 안양시 동안구,2025.4.29
19816,경기도 안양시 동안구 호계동,1279,1279,0000,금정역호계푸르지오,59.94,202503,15,"62,900",102동,9,개인,개인,2015,엘에스로116번길 56,-,중개거래,경기 군포시,2025.6.9
19817,경기도 부천시 원미구 역곡동,212-2,0212,0002,한국,59.67,202503,15,"34,500",제101,7,개인,개인,1996,안곡로 284,-,중개거래,경기 부천시 원미구,2025.6.24
19818,경기도 안양시 동안구 평촌동,898,0898,0000,초원성원,59.94,202503,15,"66,500",104,15,개인,개인,1992,관평로138번길 12,-,중개거래,경기 안양시 동안구,2025.6.20
19819,경기도 안양시 동안구 호계동,1309,1309,0000,평촌두산위브리버뷰,59.99,202503,15,"63,000",103,20,개인,개인,2022,엘에스로45번길 30,-,중개거래,경기 안양시 동안구,2025.6.4
19820,경기도 안양시 만안구 안양동,1380,1380,0000,주공뜨란채(아),45.9,202503,15,"48,000",-,22,개인,개인,2004,안양천서로 289,20250519,중개거래,경기 안양시 만안구,-
19821,경기도 안양시 만안구 안양동,1393,1393,0000,래미안안양메가트리아,59.75,202503,15,"70,800",110동,29,개인,개인,2016,안양천서로 177,-,중개거래,경기 안양시 만안구,2025.5.14
19822,경기도 안양시 만안구 안양동,78,0078,0000,안양동경남아너스빌,59.91,202503,15,"38,500",102,3,개인,개인,2001,태평로 214,-,중개거래,경기 안양시 만안구,2025.4.30
19823,경기도 안양시 만안구 안양동,1380,1380,0000,주공뜨란채(아),84.8,202503,15,"74,000",103,18,개인,개인,2004,안양천서로 289,-,중개거래,경기 안양시 만안구,2025.4.29
19824,경기도 안양시 만안구 석수동,805,0805,0000,주공그린빌,52.88,202503,15,"42,000",102,8,개인,개인,2003,삼막로 12,-,중개거래,경기 안양시 만안구,2025.6.24
19825,경기도 안양시 만안구 석수동,168-4,0168,0004,석수경남아너스빌,55.771,202503,15,"51,000",102,13,개인,개인,2002,경수대로1219번길 8,-,중개거래,경기 안양시 동안구,2025.6.11
19826,경기도 안양시 만안구 석수동,275-2,0275,0002,무림,56.19,202503,15,"33,000",제3,4,개인,개인,1983,석천로197번길 52,-,중개거래,경기 안양시 만안구,2025.5.30
19827,경기도 안양시 동안구 호계동,1296,1296,0000,평촌어바인퍼스트,84.6,202503,15,"101,000",120,19,개인,개인,2021,경수대로 581,-,중개거래,경기 안양시 동안구,2025.6.2
19828,경기도 안양시 만안구 안양동,1393,1393,0000,래미안안양메가트리아,84.7,202503,15,"87,500",209동,18,개인,개인,2016,안양천서로 177,-,중개거래,"경기 안양시 만안구, 인천 서구",2025.6.24
19829,경기도 안양시 만안구 안양동,1393,1393,0000,래미안안양메가트리아,59.66,202503,15,"69,000",216동,17,개인,개인,2016,안양천서로 177,-,중개거래,경기 안양시 만안구,2025.6.5
19830,경기도 안양시 동안구 관양동,1587-5,1587,0005,공작성일,39.6,202503,15,"34,500",201,9,개인,개인,1993,달안로 153,-,중개거래,경기 안양시 동안구,2025.5.28
19831,경기도 안양시 동안구 관양동,1587-5,1587,0005,공작성일,39.6,202503,15,"34,500",201,9,개인,개인,1993,달안로 153,-,중개거래,경기 안양시 동안구,2025.5.28
19832,경기도 안양시 동안구 관양동,1507-2,1507,0002,파인빌,13.5208,202503,15,"11,000",-,7,개인,개인,2014,흥안대로 500-6,-,중개거래,경기 안양시 동안구,2025.4.30
19833,경기도 안양시 동안구 호계동,1309,1309,0000,평촌두산위브리버뷰,59.99,202503,15,"63,000",-,20,개인,개인,2022,엘에스로45번길 30,20250326,중개거래,경기 안양시 동안구,-
19834,경기도 부천시 원미구 약대동,209,0209,0000,부천위브트레지움2단지,59.98,202503,15,"61,250",201,9,개인,개인,2012,도약로 206,-,중개거래,경기 부천시 원미구,2025.5.29
